"","eif_beta1","eif_beta0","eif_alpha","tp_pd_beta1","tp_pd_beta0","tp_pd_alpha","pd_om_beta1","pd_om_beta0","pd_om_alpha","rho"
"23",0.500382823582642,-1.1472665066014,292.007711385713,0.493630539375894,-0.897645279417836,267.680455344826,0.480208284472328,-0.449478743540117,261.689498019903,0.1
"24",0.505936795841188,-0.742183216149813,221.649156341901,0.506883414111853,-0.645457123716383,256.056787136098,0.471801520826448,-0.523850992611238,346.438445415999,0.1
"25",0.351449180865189,-0.52680774043316,501.457454114808,0.408632002371451,-0.539573157490025,465.196026246872,0.458414896460374,-0.419832155462476,328.222199923451,0.1
"26",0.619976707417844,-0.441952946711769,304.387393116096,0.588434085521401,-0.479587096745737,341.460162129824,0.504992869840949,-0.466726857436879,352.16625711883,0.1
"27",0.477665093551482,-1.03653513722901,270.308213607416,0.509847291082536,-0.854954051780739,230.827862309097,0.472748235879902,-0.601102938429552,328.807852001525,0.1
"28",0.546628521646918,-0.673837847458966,259.213475955746,0.531439104491503,-0.551765049953683,334.063439019956,0.475309848650736,-0.57741560083255,334.403062627847,0.1
"29",0.387638675436503,-0.977838230553469,360.517982947486,0.446728462562005,-0.636506641956755,473.55872670134,0.476640580378983,-0.419364025772185,417.013735941799,0.1
"30",0.439296076943021,-0.735115025419066,276.005892697894,0.4505885566628,-0.667488307998058,309.461206678007,0.459474796345812,-0.480808810807878,385.030849960485,0.1
"31",0.467542136495652,-0.554530788074553,399.494868550116,0.470088063945217,-0.561035457702325,400.882051054804,0.475445480295121,-0.403463619995228,339.558764276542,0.1
"32",0.570005050769706,-0.607845720794732,448.947817447902,0.539636001530841,-0.586720447021709,468.080332709509,0.48917344684269,-0.53013339132842,366.733519177858,0.1
"33",0.466664795097505,-0.498429136086887,394.780054261893,0.465698952202909,-0.533538207218896,430.66809056033,0.471086894525973,-0.53920028416091,324.339591018514,0.1
"34",0.438691448002736,-0.712906627043768,316.129095586039,0.436871085438574,-0.678901137598762,304.280127960152,0.476468112488432,-0.457230861241898,340.105547452563,0.1
"35",0.534935971391161,-0.59304067429224,440.311626697151,0.51724549734891,-0.607816442167127,462.052282878636,0.471246683950651,-0.433088492874275,456.063865926323,0.1
"36",0.484044595630343,-0.771761686303465,385.088689445181,0.486918606758062,-0.586132330079496,432.425868516283,0.458001747096417,-0.516399197621373,389.520183818194,0.1
"37",0.421201687220238,-0.636884036268313,278.668876359017,0.426786363398081,-0.635007946331099,303.803110563975,0.461756407154394,-0.565651076102734,370.394313032475,0.1
"38",0.562643549670638,-0.391948427540317,331.644229953703,0.543689868458398,-0.395829944695316,354.298214033921,0.47809344315525,-0.39216639641177,357.326745237899,0.1
"39",0.507961520986223,-0.44083259877167,372.444052933331,0.496019820455386,-0.426122602568272,376.985812208282,0.462203658917723,-0.471649476109128,368.160843584012,0.1
"40",0.367420355900245,-0.914015183177499,347.297345187066,0.421235934350535,-0.712920606410413,385.907546796424,0.474385355655403,-0.51130612144057,378.639951829738,0.1
